B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12,olc_id
1332,1152,1190,1662,1798,1984,2322,2417,2759,1002,26,3877,2405,6G5RWC6P+G95
1292,1291,1530,2329,2442,2702,3027,3126,3358,1044,25,4614,3510,6G5RWFV5+P35
1376,1297,1354,1735,1810,1988,2203,2345,2628,743,18,4149,3267,6G6VMF6V+789
1224,984,897,980,1184,1404,1687,1701,1984,575,18,3232,2160,6G6VMG88+G48
1238,961,912,780,1145,2002,2307,2324,2562,601,11,1848,1059,5GWQW57R+5P3
1439,1311,1348,1734,1897,2296,2610,2665,3070,948,12,3195,1862,7C6CRXC8+JV2
1752,1631,1655,2101,2272,2536,2832,2867,3210,1232,19,4355,3387,7C4MFMCF+V7J
1717,1580,1637,2046,2297,2587,2862,2864,3277,1201,19,4255,2890,7C4MFM8Q+F45
1422,1129,1255,1091,1824,3027,3577,3388,3900,731,20,3130,1893,6G9M2248+VCH
1360,1253,1314,1387,1573,2531,3093,2908,3500,640,18,3483,2358,6G9M227M+286
1252,1177,1100,1113,1179,1588,1895,2194,2143,457,15,2566,1986,5GPQ3875+QV7
1299,1123,1159,1434,1576,1935,2178,2082,2341,539,14,2898,2454,5GPQ38FV+X2G
1136,892,800,565,913,2193,2763,2631,3193,355,8,1929,896,6CRWMPJR+W3Q
1128,831,753,403,721,2190,2869,2901,3306,416,9,1547,586,6CRWMQR5+R93
2476,1942,2009,1982,2177,3786,4742,4362,5132,1002,28,3261,1951,6CQXC7MC+VC9
1929,1599,1684,1388,1714,3383,4339,4055,4775,785,70,2687,1486,6CQXC7XM+328
1397,1198,1086,1191,1355,1614,1802,1660,2091,418,16,2765,2268,6G3VX82M+7FG
1258,1158,1175,1402,1444,1796,2021,2011,2263,714,15,2588,2073,5GRQHFG6+3GQ
1386,1146,1038,1092,1234,1397,1629,1482,1844,293,30,2792,2269,5GQX7RFR+C97
1478,1320,1300,1554,1646,1926,2229,2300,2716,443,33,3990,2641,5GQX7VG7+H73
1215,980,888,760,980,1303,1434,1385,1561,421,30,1735,1389,6G5P35CV+2W2
1276,1091,1046,1071,1309,1672,1919,1887,2165,572,41,2472,1914,6G5P36FF+272
1058,856,893,643,1180,2338,2770,2568,3245,943,10,2002,1021,6GWPJXVX+MG4
1043,838,805,623,1001,1833,2145,1983,2316,696,12,1784,1111,6GWQJ2RF+HM6
1323,1206,1162,1274,1416,1941,2232,2227,2504,806,14,2870,1891,7C2RWF39+4Q2
1327,1148,1116,1229,1471,1964,2217,2323,2438,791,13,2949,2027,7C2RVFXP+GGP
1447,1334,1398,1977,2009,2360,2677,2909,3138,578,26,3890,2623,5GWPC763+W22
1427,1155,1078,1197,1633,2236,2641,2422,2955,564,19,2900,1747,5GWPC75C+WQM
1239,1385,1610,2206,2387,2930,3217,3373,3749,1249,16,3397,2078,6HX4HPQF+8WW
